city,review_count,name,neighbourhood,type,business_id,full_address,state,longitude,stars,latitude,open,categories
Glendale Az,14,Hot Bagels & Deli,[],business,PzOqRohWw7F7YEPBz6AubA,"6520 W Happy Valley Rd Ste 101 Glendale Az, AZ 85310",AZ,-112.200264,3.5,33.712797,TRUE,"[u'Food', u'Bagels', u'Delis', u'Restaurants']"
Gilbert,10,Jersey Mike's Subs,[],business,qarobAbxGSHI7ygf1f7a_Q,"891 E Baseline Rd Suite 102 Gilbert, AZ 85233",AZ,-111.8120071,3.5,33.3788385,TRUE,"[u'Sandwiches', u'Restaurants']"
Phoenix,5,La Paloma Mexican Food,[],business,gA5CuBxF-0CnOpGnryWJdQ,"519 W Thomas Rd Phoenix, AZ 85013",AZ,-112.0813612,4,33.480105,TRUE,"[u'Mexican', u'Restaurants']"
Scottsdale,55,Sauce,[],business,JxVGJ9Nly2FFIs_WpJvkug,"14418 N Scottsdale Rd Suite 181 Scottsdale, AZ 85254",AZ,-111.926272,4,33.6174589,TRUE,"[u'Pizza', u'Restaurants']"
Phoenix,23,Fuddruckers,[],business,Jj7bcQ6NDfKoz4TXwvYfMg,"8941 N Black Canyon Hwy Phoenix, AZ 85021",AZ,-112.116243,4,33.566989,TRUE,"[u'Burgers', u'Restaurants']"
Phoenix,42,China Chan Restaurant,[],business,yOYFhiTjT-SM4spKtDk92w,"10227 N Metro Pkwy E Phoenix, AZ 85051",AZ,-112.120516,3.5,33.5803589,FALSE,"[u'Buffets', u'Dim Sum', u'Chinese', u'Restaurants']"
Scottsdale,3,McDonald's,[],business,4IAzFJ159GEaIGX1-y6Bmw,"9251 E Shea Blvd Scottsdale, AZ 85258",AZ,-111.881625,2.5,33.581867,TRUE,"[u'Burgers', u'Fast Food', u'Restaurants']"
Scottsdale,85,Nimbus American Bistro N' Brewery,[],business,MLAnvEcvDfOWELHUN_0xEw,"7001 N Scottsdale Rd Ste 147 Scottsdale, AZ 85253",AZ,-111.9641728,3,33.5388471,FALSE,"[u'Food', u'Breweries', u'American (New)', u'Restaurants']"
Scottsdale,9,Peter Piper Pizza,[],business,JHp5mJvYe6UtM_QsklR-iw,"7607 E McDowell Road Suite 101 Scottsdale, AZ 85257",AZ,-111.9175425,3,33.4661264,TRUE,"[u'Pizza', u'Restaurants']"
Gila Bend,10,Sofia's Mexican Food,[],business,sygb2W4NRadVXiWhW8bnFQ,"616 E Pima Street Gila Bend, AZ 85337",AZ,-112.7113217,3.5,32.9482948,TRUE,"[u'Mexican', u'Restaurants']"
Phoenix,9,Meatballz,[],business,JvJjaTJCyUGu5SDpoJWvZg,"1930 W Pinnacle Peak Rd Ste 119 Phoenix, AZ 85027",AZ,-112.101312,3,33.6988429,FALSE,"[u'Caterers', u'Restaurants', u'Event Planning & Services', u'Italian']"
Phoenix,27,Panda Garden,[],business,507GX11jtCsVYlzaur05_w,"4730 E Warner Rd Phoenix, AZ 85044",AZ,-111.983142,4,33.333182,TRUE,"[u'Chinese', u'Restaurants']"
